UF;MUNICIPIO;TOTAL;MUNICIPIO_clean;id_municipio;longitude;latitude
AM;ENVIRA                             ;42;ENVIRA;147.0;-70.028143;-7.437889
AM;FONTE BOA                          ;2;FONTE BOA;148.0;-66.094212;-2.523424
AM;GUAJARÁ                            ;111;GUAJARÁ;149.0;-72.590713;-7.537971
AM;HUMAITÁ                            ;51;HUMAITÁ;150.0;-63.032743;-7.511712
AM;IPIXUNA                            ;54;IPIXUNA;151.0;-71.693426;-7.047909
AM;IRANDUBA                           ;39;IRANDUBA;152.0;-60.189953;-3.274792
AM;ITACOATIARA                        ;69;ITACOATIARA;153.0;-58.444874;-3.138607
AM;ITAMARATI                          ;40;ITAMARATI;154.0;-68.260027;-6.424591
AM;ITAPIRANGA                         ;8;ITAPIRANGA;155.0;-58.029257;-2.74081
AM;JAPURÁ                             ;11;JAPURÁ;156.0;-66.929051;-1.882366
AM;JURUÁ                              ;20;JURUÁ;157.0;-66.071795;-3.484384
AM;JUTAÍ                              ;1;JUTAÍ;158.0;-66.75947;-2.758144
AM;LÁBREA                             ;54;LÁBREA;159.0;-64.794765;-7.264133
AM;MANACAPURU                         ;136;MANACAPURU;160.0;-60.621581;-3.290657
AM;MANAQUIRI                          ;9;MANAQUIRI;161.0;-60.461239;-3.440784
AM;MANAUS                             ;628;MANAUS;162.0;-60.02123;-3.118662
AM;MANICORÉ                           ;36;MANICORÉ;163.0;-61.289483;-5.804618
AM;MARAÃ                              ;23;MARAÃ;164.0;-65.572995;-1.853129
AM;MAUÉS                              ;124;MAUÉS;165.0;-57.706731;-3.392891
AM;NHAMUNDÁ                           ;11;NHAMUNDÁ;167.0;-56.711151;-2.207932
AM;NOVA OLINDA DO NORTE               ;2;NOVA OLINDA DO NORTE;168.0;-59.09404;-3.900367
AM;NOVO AIRÃO                         ;36;NOVO AIRÃO;169.0;-60.943404;-2.636371
AM;NOVO ARIPUANÃ                      ;30;NOVO ARIPUANÃ;170.0;-60.373179;-5.125929
AM;PARINTINS                          ;96;PARINTINS;171.0;-56.729045;-2.637412
AM;PAUINI                             ;13;PAUINI;172.0;-66.992039;-7.713109
AM;PRESIDENTE FIGUEIREDO              ;62;PRESIDENTE FIGUEIREDO;173.0;-60.02338;-2.029813
